name,age,married,working,past_deliveries,delivery_time
Waida Mangal,21,No,Yes,0,1-2
Quincy Lanka,48,No,Yes,5,9-10
Harish Jayaraman,33,Yes,No,5,3-4
Atharv Sunder,56,No,No,3,1-2
Gautami Samra,68,No,Yes,2,1-2
Christopher Nayak,68,No,Yes,4,2-3
Harita Chaudhry,38,No,No,2,3-4
Urmi Ratti,64,Yes,No,5,10-11
Damyanti Dara,55,Yes,Yes,4,1-2
Faqid Bhatia,39,No,No,2,4-5
Peter Narain,19,No,Yes,4,3-4
Fiyaz Soni,43,Yes,No,3,11-12
Ekantika Sandal,30,No,Yes,5,4-5
Neel Yohannan,34,No,Yes,2,4-5
Anika Gopal,66,No,Yes,4,11-12
Advik Kant,38,No,Yes,3,2-3
Chakradhar Bal,70,Yes,No,5,4-5
Tristan Saxena,57,Yes,No,5,9-10
Advik Khare,19,Yes,No,4,11-12
Lohit Kapur,21,No,Yes,4,1-2
Avni Krishnan,70,Yes,No,4,12-1
Vidhi Dewan,35,No,No,5,11-12
Neha Puri,60,Yes,No,4,9-10
Gabriel Rajagopal,62,Yes,Yes,1,1-2
Rishi Shah,49,No,Yes,2,11-12
Pahal Wable,25,No,Yes,5,3-4
Mohini Devan,30,No,No,5,9-10
Alexander Venkatesh,27,Yes,Yes,5,1-2
Laksh Comar,63,No,No,5,4-5
Alka Gera,66,Yes,Yes,0,4-5
Madhav Modi,62,Yes,Yes,1,3-4
Vasudha Dutta,32,Yes,Yes,3,1-2
Farhan Rama,49,Yes,Yes,5,12-1
Bhavani Chaudry,28,No,Yes,5,10-11
Nachiket Dewan,26,No,Yes,0,10-11
Jhalak Pau,49,Yes,Yes,4,12-1
Hemani Thakur,30,No,No,3,4-5
Yash Sant,34,No,Yes,2,11-12
Isaac Mitra,20,No,Yes,5,10-11
Chanakya Basak,23,Yes,Yes,2,12-1
Forum Nagi,62,No,Yes,4,11-12
Anusha Chakrabarti,45,Yes,No,5,4-5
Siya Borde,19,No,Yes,1,12-1
Unni Khurana,67,No,No,0,9-10
Bhavya Jain,20,Yes,No,5,1-2
Vanya Rattan,25,Yes,No,5,3-4
Bhavini Anand,60,Yes,Yes,4,3-4
Kevin Chakraborty,53,Yes,Yes,4,12-1
Aradhana Sibal,57,No,No,0,12-1
Sudiksha Mammen,61,No,Yes,0,9-10
Vasana Apte,67,Yes,Yes,3,1-2
Guneet Sura,43,Yes,Yes,4,1-2
Ishanvi Kale,47,No,No,4,1-2
Bhavika Thakur,54,Yes,No,5,10-11
Chanakya Sarkar,53,No,No,1,4-5
Parth Ravi,25,No,No,4,12-1
Hamsini Krishnamurthy,29,No,Yes,2,2-3
Zayyan Baria,62,Yes,Yes,0,1-2
Tristan Rout,64,Yes,Yes,3,11-12
Peter Vohra,43,Yes,No,2,3-4
Tanveer Salvi,36,Yes,Yes,4,3-4
Leena Tara,24,Yes,Yes,4,12-1
Henry Subramaniam,52,No,Yes,5,10-11
Praneel Bail,24,Yes,No,3,3-4
Yoshita Mitter,60,Yes,No,5,1-2
Edhitha Bhakta,49,Yes,Yes,5,11-12
Eta Kohli,45,Yes,No,5,4-5
Upadhriti Yohannan,29,No,Yes,2,12-1
Avni Krishnan,70,Yes,No,4,12-1
Mekhala Varghese,47,Yes,Yes,5,4-5
Sathvik Koshy,65,No,Yes,4,10-11
Lakshit Murty,45,Yes,No,3,3-4
Peter Konda,29,Yes,No,0,1-2
Chasmum Soni,49,No,No,3,12-1
Ijaya Oak,47,No,No,4,1-2
Falan Palan,38,No,Yes,5,1-2
Jacob Rajan,40,Yes,No,4,11-12
Daksh Purohit,18,Yes,No,2,11-12
Pallavi Sunder,31,No,Yes,4,1-2
Guneet Kibe,33,Yes,Yes,4,2-3
Faris Sastry,38,No,No,1,11-12
Leena Tara,24,Yes,Yes,4,12-1
Jagrati Malhotra,40,Yes,Yes,2,3-4
Manthan Oza,68,Yes,Yes,3,11-12
Harinakshi Sekhon,18,No,No,4,11-12
Brinda Menon,65,No,Yes,4,9-10
Turvi Vyas,67,No,No,5,4-5
Kavya Lata,37,No,No,1,10-11
Vinaya Dani,45,No,Yes,5,1-2
Tamanna Saini,46,Yes,No,0,9-10
Lopa Banerjee,56,No,No,1,3-4
Hredhaan Balakrishnan,65,No,Yes,0,9-10
Advaith Dugal,52,No,Yes,3,4-5
Dayita Tandon,45,Yes,No,3,11-12
Parth Ravi,25,No,No,4,12-1
Teerth Apte,65,No,Yes,0,3-4
Anusha Jani,46,No,Yes,2,1-2
Ekanta Om,18,No,No,2,4-5
Hiral Manda,26,No,Yes,1,11-12
Lucky Hora,65,Yes,Yes,5,3-4
Tamanna Mander,27,Yes,No,0,12-1
Isaac Natt,40,Yes,Yes,5,2-3
Meera Issac,66,No,Yes,5,1-2
Qabil Zacharia,57,Yes,No,3,4-5
Maya Gara,66,No,Yes,2,4-5
Lohit Contractor,40,Yes,No,5,9-10
Praneel Jain,44,No,No,5,3-4
Omkaar Kala,33,No,Yes,4,3-4
Aarini Sundaram,30,Yes,Yes,4,11-12
Rajata Krish,23,Yes,Yes,2,4-5
Sara Zachariah,62,Yes,Yes,3,11-12
Balveer Rai,59,No,No,2,1-2
Ayush Prashad,62,Yes,No,3,2-3
Qabil Deep,54,No,Yes,5,9-10
Banjeet Malhotra,54,Yes,Yes,1,9-10
Matthew Cherian,38,No,Yes,5,3-4
Harrison Kohli,53,No,Yes,0,10-11
Yashoda Khurana,19,Yes,Yes,5,3-4
Sai Bakshi,42,No,No,5,10-11
Wridesh Ahuja,62,No,Yes,3,1-2
Bhavya Khosla,64,No,No,5,12-1
Hredhaan Bhalla,65,Yes,Yes,4,3-4
Aarini Sundaram,30,Yes,Yes,4,11-12
Alexander Dixit,61,No,No,2,1-2
Advay Narang,19,Yes,Yes,3,10-11
Samuel Ghose,27,Yes,Yes,4,3-4
Chakradhar Vig,68,No,Yes,5,11-12
Aarna Gill,45,Yes,No,2,1-2
Dev Kapur,35,No,Yes,3,11-12
Utkarsh Jaggi,43,Yes,Yes,3,1-2
Azad Chakraborty,54,Yes,No,5,10-11
Siya Chaudhari,30,Yes,No,4,2-3
Jhalak Chaudhary,67,No,No,4,9-10
Jagrati Patla,66,Yes,No,3,11-12
Ayushman Saha,62,No,Yes,0,1-2
Jack Sengupta,55,No,Yes,5,11-12
Harita Doctor,45,Yes,No,5,2-3
Zaid Pall,44,No,No,4,3-4
Dayita Sabharwal,34,Yes,No,0,9-10
Daniel Pandey,18,No,No,5,2-3
Unni Bava,40,No,Yes,3,3-4
Gautam Khanna,41,No,Yes,4,4-5
Liam Chada,29,Yes,Yes,5,4-5
Shravya Ahluwalia,63,Yes,Yes,2,1-2
Sneha Zachariah,33,Yes,No,4,12-1
Vincent Rajan,40,Yes,No,5,4-5
Bishakha Arora,51,Yes,Yes,3,4-5
Tristan Sant,42,No,Yes,5,3-4
Nidhi Sanghvi,63,Yes,Yes,3,4-5
Vaishnavi Merchant,59,No,Yes,1,9-10
Azad Vohra,25,No,Yes,5,1-2
Jonathan Kunda,67,Yes,Yes,0,12-1
Ekiya Mittal,39,Yes,No,1,11-12
Dev Gaba,62,No,Yes,5,4-5
Darika Garg,53,Yes,No,3,4-5
Lajita Rattan,24,Yes,No,3,1-2
Gaurav Reddy,47,Yes,No,4,1-2
Udant Tandon,66,Yes,Yes,5,9-10
Chavvi Ahuja,53,Yes,No,2,2-3
William Lanka,43,No,No,1,12-1
Veer Mody,51,No,Yes,3,12-1
Luke Swamy,56,No,No,5,10-11
Bhavini Vaidya,19,Yes,No,3,11-12
Chaman Grewal,58,Yes,No,4,11-12
Krish Sagar,49,Yes,Yes,4,1-2
Netra Sunder,70,No,Yes,1,12-1
Vedika Guha,31,No,No,4,9-10
Vasudha Nanda,67,Yes,No,2,4-5
Qarin Som,41,No,No,5,4-5
Irya Thakkar,65,No,Yes,3,11-12
Krisha Lala,34,Yes,Yes,5,10-11
Aryan Gour,48,Yes,Yes,5,12-1
Jeevika Khanna,22,Yes,No,3,9-10
Ria Subramanian,27,Yes,No,4,11-12
Rajeshri Karnik,50,Yes,Yes,4,10-11
Kashvi Mukherjee,30,No,Yes,4,10-11
Raagini Goswami,60,No,Yes,5,2-3
Vihaan Mitter,47,Yes,No,1,3-4
Jack Sengupta,55,No,Yes,5,11-12
Rushil Sharma,55,Yes,No,5,10-11
Hritik Virk,61,No,Yes,0,9-10
Jagvi Sha,55,No,Yes,1,1-2
Jacob Swamy,23,No,Yes,1,12-1
Maya Devi,20,No,No,5,12-1
Dalaja Nayar,51,Yes,No,5,4-5
Nachiket Nair,61,Yes,No,4,12-1
Advika Warrior,64,No,Yes,4,9-10
Siddharth Ganesh,25,No,Yes,3,1-2
Dominic Sood,30,Yes,Yes,4,2-3
Arjun Lall,20,Yes,No,1,1-2
Ishanvi Chahal,38,Yes,Yes,2,3-4
Vihaan Ratta,23,Yes,Yes,2,11-12
Ira Doshi,20,Yes,No,3,11-12
Ekani Seth,36,No,Yes,3,1-2
Kamya Agate,26,No,No,2,2-3
Jacob Sathe,47,Yes,No,2,4-5
Reyansh Shroff,42,Yes,Yes,4,12-1
Anita Sule,42,Yes,Yes,3,9-10
Nicholas Gera,35,No,Yes,0,9-10
Henry Subramaniam,52,No,Yes,5,10-11
Chandran D’Alia,37,Yes,No,5,12-1
Alexander Soman,56,Yes,No,1,2-3
Amara Tiwari,26,Yes,No,4,12-1
Rachana Mukherjee,34,No,Yes,0,12-1
Girik Mandal,43,No,No,2,3-4
Rayaan Memon,52,No,Yes,3,4-5
Idika Goel,50,No,Yes,4,12-1
Diya Kulkarni,44,Yes,No,5,3-4
Teerth Chaudhary,43,Yes,Yes,3,12-1
Aarush Saha,20,Yes,No,5,11-12
Ijaya Oak,47,No,No,4,1-2
Luke Patel,21,No,No,5,9-10
Ayushman Sarraf,28,No,No,4,1-2
Yatin Sahota,58,Yes,Yes,0,1-2
Teerth Kapur,55,No,Yes,5,12-1
Zaid Pall,44,No,No,4,3-4
Vritti Bobal,46,Yes,No,5,3-4
Arunima Sampath,55,No,Yes,3,3-4
Luke Patel,21,No,No,5,9-10
Harshil Yadav,68,No,Yes,2,11-12
Nakul Srivastava,56,Yes,No,0,9-10
Advaith Ram,61,No,No,3,11-12
Vaishnavi Gour,39,No,Yes,4,1-2
Matthew Cherian,38,No,Yes,5,3-4
Abdul Chad,38,Yes,No,4,4-5
Gavin Sood,58,No,No,5,3-4
Balhaar Aggarwal,33,Yes,No,4,10-11
Dalaja Nayar,51,Yes,No,5,4-5
Urmi Ratti,64,Yes,No,5,10-11
Mitali Buch,67,No,No,5,3-4
Naksh Chopra,42,No,Yes,5,10-11
Anita Tripathi,19,No,No,3,2-3
Qushi Tailor,70,No,Yes,0,3-4
Riya Sahni,65,No,Yes,4,4-5
Pushti Mittal,62,No,No,4,3-4
Girindra Nadkarni,21,Yes,Yes,3,12-1
Dhruv Zachariah,42,Yes,Yes,5,9-10
Sai Pandit,47,Yes,Yes,4,1-2
Zehaan Borra,68,Yes,No,1,12-1
Chandran D’Alia,37,Yes,No,5,12-1
Baghyawati Dar,40,No,Yes,5,3-4
Hemang Kashyap,63,Yes,No,5,9-10
Leela Munshi,27,Yes,No,2,1-2
Odika Palla,18,No,Yes,2,9-10
Panini Sastry,34,No,No,4,1-2
Lohit Narayan,58,No,Yes,1,2-3
Leena Palan,35,Yes,No,4,12-1
Indali Vora,34,No,No,5,2-3
Sanya Balan,18,Yes,Yes,5,3-4
Daksh Rastogi,67,No,Yes,2,10-11
Nidhi Lall,60,Yes,Yes,5,1-2
Yochana Wason,22,Yes,Yes,5,12-1
Harinakshi Kulkarni,60,Yes,No,1,9-10
Falak Som,44,No,Yes,4,2-3
Chandresh Bhatnagar,47,No,No,2,3-4
Kamala Chandra,44,Yes,Yes,5,11-12
Timothy Narang,34,Yes,Yes,4,9-10
Anika Yadav,50,Yes,Yes,5,1-2
Wishi Tank,30,No,No,2,12-1
Abhiram Parmer,57,No,Yes,4,2-3
Lipika Khare,30,No,Yes,3,12-1
Krisha Srivastava,67,No,No,3,4-5
Dhriti Sharaf,27,No,No,3,9-10
Jeet Walla,30,No,Yes,4,1-2
Kala Dube,34,No,No,5,1-2
Krisha Shan,55,No,No,3,11-12
Victor Kapoor,39,Yes,No,1,9-10
Unnati Kurian,24,Yes,Yes,2,11-12
Unni Mannan,40,No,No,5,10-11
Wishi Butala,38,No,Yes,3,11-12
Adweta Choudhry,45,Yes,Yes,2,11-12
Indira Vohra,55,Yes,Yes,2,11-12
Jhalak Pau,49,Yes,Yes,4,12-1
Chasmum Wason,61,No,No,0,2-3
Leena Devi,28,No,Yes,5,2-3
Tarak Taneja,67,No,No,5,2-3
Vanya Gaba,27,Yes,No,3,3-4
Timothy Dara,54,No,No,0,1-2
Kashish Sarna,47,Yes,Yes,5,2-3
Ria Subramanian,27,Yes,No,4,11-12
Ekani Seth,36,No,Yes,3,1-2
Quincy Suri,36,No,Yes,2,2-3
Harrison Dhar,41,No,No,3,2-3
Bhavini Vaidya,19,Yes,No,3,11-12
Aradhana Biswas,34,No,No,4,3-4
Vasudha Karnik,56,No,Yes,5,2-3
Lopa Krish,66,No,No,4,9-10
Laksh Comar,63,No,No,5,4-5
Advaith Konda,31,No,Yes,5,9-10
Garima Chopra,62,Yes,Yes,4,1-2
Anthony Pau,26,No,Yes,4,4-5
Advaith Dyal,48,Yes,Yes,5,3-4
Girindra Kapadia,18,No,Yes,2,4-5
Imaran Keer,28,No,Yes,4,12-1
Oeshi Nigam,57,No,Yes,3,1-2
Jagdish Singh,47,No,No,5,3-4
Mitesh Sarkar,45,No,Yes,3,3-4
Bhavika Thakur,54,Yes,No,5,10-11
Pranav Dugal,20,No,No,2,12-1
Qushi Sidhu,51,No,Yes,5,9-10
Ekiya Narasimhan,52,No,Yes,4,9-10
Zinal Rajagopalan,63,No,No,3,4-5
Ekaraj Koshy,53,No,Yes,0,4-5
Gauri Sunder,24,No,Yes,4,11-12
Rachit Anne,54,No,Yes,1,11-12
Oni Batta,58,No,No,0,1-2
Bhavna Barman,61,Yes,Yes,3,11-12
Udyati Bansal,28,Yes,Yes,5,10-11
Manya Din,43,No,Yes,4,12-1
Gaurika Dhawan,22,Yes,No,5,1-2
Lekha Shetty,70,Yes,Yes,4,3-4
Chakrika Soman,48,No,Yes,2,12-1
Wahab Prakash,52,No,No,5,3-4
Alexander Sagar,20,Yes,No,4,9-10
Hema Minhas,45,No,Yes,3,1-2
Vihaan Ratta,23,Yes,Yes,2,11-12
Varenya Sheth,55,No,Yes,2,12-1
Gautam Pant,63,Yes,No,4,1-2
Jack Sengupta,55,No,Yes,5,11-12
Nimrat Badami,27,Yes,Yes,5,9-10
Faraj Chana,59,No,No,2,1-2
Bhavya Khosla,64,No,No,5,12-1
Rachit Randhawa,62,Yes,No,5,12-1
Upkaar Sampath,33,No,No,2,3-4
Nakul Dara,52,No,No,5,4-5
Balendra De,60,Yes,Yes,4,12-1
Ishaan Basak,54,No,No,4,1-2
Yashasvi Kala,66,No,No,5,9-10
Nitara Pai,46,Yes,No,2,4-5
Wakeeta Merchant,44,Yes,Yes,3,1-2
Balhaar Randhawa,58,Yes,No,2,11-12
Yauvani Saraf,37,Yes,Yes,5,1-2
Krish Bhardwaj,36,No,No,4,10-11
Ojasvi Balakrishnan,21,No,Yes,4,1-2
Geetika Nadkarni,32,Yes,Yes,4,12-1
Ridhi Pall,30,No,Yes,2,11-12
Tripti Garg,26,Yes,No,4,12-1
Xavier Bhatti,59,No,No,1,9-10
Wridesh Majumdar,29,No,No,1,3-4
Naksh Chopra,42,No,Yes,5,10-11
Laban Seth,68,Yes,Yes,1,12-1
Christopher Nayak,68,No,Yes,4,2-3
Omkaar More,33,No,No,4,10-11
Kala Dube,34,No,No,5,1-2
Dakshesh Contractor,65,No,Yes,1,4-5
Ria Dugar,43,Yes,No,5,3-4
Max Nadkarni,66,Yes,No,2,11-12
Yutika Hora,62,No,No,0,3-4
Urmi Dasgupta,31,Yes,No,5,2-3
Samuel Ramanathan,44,No,No,4,9-10
Wishi Bawa,37,Yes,Yes,2,3-4
Isaac Natt,40,Yes,Yes,5,2-3
Vidhi Madan,69,No,No,4,1-2
Yashvi Mukherjee,50,No,Yes,4,9-10
Amol Shah,68,No,No,4,12-1
Ikshita Sachar,30,No,No,5,3-4
Chakrika Sha,29,Yes,No,5,10-11
Madhav Chada,47,No,Yes,3,10-11
Orinder Grewal,58,Yes,No,0,9-10
Megha Sharma,69,Yes,Yes,4,12-1
Saanvi Bhargava,39,No,No,5,11-12
Vincent Rajan,40,Yes,No,5,4-5
Avni Char,47,No,Yes,2,10-11
Sai Hari,51,Yes,Yes,4,4-5
Tamanna Borah,19,Yes,No,5,2-3
Ishaan Basak,54,No,No,4,1-2
Kevin Swaminathan,54,No,No,5,10-11
Rayaan Aggarwal,46,Yes,Yes,4,9-10
Vedant Bobal,54,Yes,Yes,2,11-12
Lohit Contractor,40,Yes,No,5,9-10
Ekta Warrior,26,Yes,Yes,1,9-10
Ishwar Lala,29,Yes,No,5,11-12
Gautami Shan,44,No,No,5,4-5
Devansh Kuruvilla,62,No,Yes,5,12-1
Jhalak Bir,32,Yes,Yes,0,12-1
Sneha Rana,21,No,No,2,12-1
Vihaan Tata,24,Yes,No,1,4-5
Jyoti Bhalla,63,Yes,No,2,2-3
Charita Dara,31,No,Yes,4,1-2
Abhiram Andra,68,Yes,No,3,12-1
Gunbir Panchal,28,No,No,4,12-1
Tanvi Ray,20,No,No,4,2-3
Jagat Hans,64,No,No,4,1-2
Kai Ramachandran,57,Yes,No,4,1-2
Gaurika Narasimhan,48,No,Yes,5,12-1
Aradhana Vyas,63,Yes,Yes,4,4-5
Hritik Salvi,50,Yes,Yes,4,11-12
Ekantika Sandal,30,No,Yes,5,4-5
Omkaar Borra,34,No,Yes,0,1-2
Yashasvi Loke,40,Yes,No,2,1-2
Nidra Prasad,46,Yes,No,5,3-4
Damyanti Dara,55,Yes,Yes,4,1-2
Laksh Comar,63,No,No,5,4-5
Chasmum Patla,48,Yes,Yes,4,1-2
Anusha Chakrabarti,45,Yes,No,5,4-5
Inaya Parmar,30,No,No,4,9-10
Inaya Kade,70,Yes,Yes,4,4-5
Nikita Sandhu,45,Yes,No,4,12-1
Bhavani Goyal,33,No,No,4,12-1
Jhalak Mand,46,No,Yes,5,2-3
Varenya Mukherjee,20,Yes,Yes,2,4-5
Omisha Sanghvi,61,Yes,Yes,4,2-3
Suhani Sathe,54,Yes,No,2,4-5
Siddharth Minhas,43,Yes,Yes,5,3-4
Ronith Kuruvilla,27,Yes,Yes,4,11-12
Gaurika Sibal,61,No,No,2,12-1
Idika Rai,60,Yes,Yes,2,12-1
Kalpit Kothari,41,Yes,No,3,4-5
Harini Anne,34,Yes,No,3,12-1
Januja Das,39,Yes,Yes,2,11-12
Triveni Khalsa,42,No,Yes,5,3-4
Manya Din,43,No,Yes,4,12-1
Jai Sheth,22,No,No,3,11-12
Yashodhara Ratti,22,No,No,0,12-1
Udarsh Patla,61,Yes,No,4,10-11
Timothy Narang,34,Yes,Yes,4,9-10
Qabil Choudhury,25,Yes,Yes,3,1-2
Jagrati Patla,66,Yes,No,3,11-12
Ekantika Nagarajan,41,No,No,2,4-5
Ishanvi Srinivasan,54,Yes,Yes,4,10-11
Saksham Nagi,69,No,Yes,5,12-1
Leena Nigam,70,Yes,No,4,11-12
Bhavini Badal,49,Yes,No,4,2-3
Hitesh Parikh,69,No,No,4,11-12
Diya Sem,48,No,No,1,4-5
Janani Sidhu,54,No,Yes,4,4-5
Anita Choudhury,26,No,Yes,3,11-12
Mugdha Grover,42,Yes,Yes,3,2-3
Ekavir Sani,57,Yes,Yes,5,12-1
Anusha Tank,22,No,Yes,1,3-4
Abeer Banik,42,Yes,Yes,0,2-3
Omya Swaminathan,47,Yes,No,4,11-12
Eta Narain,21,No,No,5,12-1
Fitan Datta,20,No,Yes,3,9-10
Lila Thaman,69,Yes,No,2,11-12
Zaitra Tiwari,67,Yes,No,4,3-4
Anmol Varma,23,Yes,No,1,2-3
Bhavani Goyal,33,No,No,4,12-1
Andrew Dutta,27,No,No,3,10-11
Vrinda Deep,31,No,No,4,11-12
Krish Sagar,49,Yes,Yes,4,1-2
Henry Palla,47,Yes,No,4,1-2
Rishi Kohli,60,Yes,No,3,10-11
Onkar Karnik,23,No,No,1,1-2
Edhitha Chowdhury,52,No,No,5,1-2
Bimala Walia,60,No,No,4,4-5
Aarini Ganesh,47,No,No,4,4-5
Jackson Andra,45,No,Yes,3,12-1
Unni Kothari,29,Yes,Yes,3,1-2
Indrajit Singh,46,Yes,No,2,3-4
Ryan Sawhney,29,No,No,4,10-11
Jhalak Verma,52,Yes,No,5,12-1
Pratyush Pingle,59,Yes,No,4,9-10
Anika Wadhwa,25,No,No,5,11-12
Kashish Sarna,47,Yes,Yes,5,2-3
Shivansh Brahmbhatt,49,Yes,Yes,5,11-12
Rohan Dada,62,Yes,Yes,2,4-5
Kritika Chaudhary,22,Yes,No,4,11-12
Watika Nayak,24,Yes,Yes,3,1-2
Bachittar Bahl,65,Yes,No,3,4-5
Dev Buch,21,No,No,4,10-11
Ladli Khatri,46,No,Yes,4,1-2
Balhaar Aggarwal,33,Yes,No,4,10-11
Vinaya Dani,45,No,Yes,5,1-2
Brijesh Dutt,56,Yes,No,2,1-2
Samesh Kapoor,64,No,Yes,3,2-3
Patrick Sawhney,51,Yes,Yes,0,12-1
Dalaja Goda,66,Yes,No,1,10-11
Guneet Kibe,33,Yes,Yes,4,2-3
Yachana Murthy,53,Yes,No,5,2-3
Jason Nayak,39,Yes,No,5,3-4
Omkaar Dugar,58,Yes,No,2,3-4
Gautami Dhawan,24,No,No,3,10-11
Chaman Rao,51,Yes,No,5,2-3
Matthew Cherian,38,No,Yes,5,3-4
Zaid Gaba,64,Yes,No,0,11-12
Raksha Yogi,42,Yes,Yes,5,12-1
Nitesh Mital,26,Yes,Yes,5,3-4
Patrick Balakrishnan,51,Yes,No,0,1-2
Shaurya Walia,33,Yes,Yes,0,3-4
Jeet Kale,61,No,No,4,9-10
Nakul Zacharia,70,No,No,1,4-5
Frederick Saraf,42,No,No,4,3-4
Siddharth Ganesh,25,No,Yes,3,1-2
Nitara Rama,52,Yes,Yes,4,2-3
Madhavi Samra,31,No,No,4,2-3
Sara Muni,26,No,Yes,4,9-10
Dev Kapur,35,No,Yes,3,11-12
Faraj Gera,36,No,No,5,12-1
Jhalak Pau,49,Yes,Yes,4,12-1
Dalbir Nori,43,Yes,Yes,5,1-2
Lakshmi Wadhwa,26,Yes,No,4,12-1
Krisha Shan,55,No,No,3,11-12
Jeremiah Jani,62,No,No,2,3-4
Jairaj Ghose,64,Yes,No,3,4-5
Praneel Bail,24,Yes,No,3,3-4
Yashvi Pau,48,No,No,5,11-12
Om Bakshi,67,Yes,No,4,12-1
Vinaya Pai,34,Yes,Yes,3,3-4
William Goda,47,No,No,2,12-1
Harsh Shenoy,53,No,No,4,11-12
Yahvi Parikh,18,No,Yes,3,12-1
Amol Biswas,42,No,No,3,11-12
Daksh Rastogi,67,No,Yes,2,10-11
Jagdish Bandi,45,No,No,3,4-5
Ethan Bhatnagar,68,No,No,5,10-11
Tristan Rout,64,Yes,Yes,3,11-12
Ekaja Suresh,21,Yes,Yes,3,9-10
Rachit Randhawa,62,Yes,No,5,12-1
Praneel Bail,24,Yes,No,3,3-4
Raagini Goswami,60,No,Yes,5,2-3
Azad Vohra,25,No,Yes,5,1-2
Yochana Bumb,56,No,No,3,10-11
Hardik Bhakta,51,No,No,4,2-3
Nikita Pal,26,No,Yes,4,11-12
Ranbir Srivastava,45,No,No,4,12-1
Jai Dhar,31,Yes,No,3,10-11
Suhani Keer,19,Yes,Yes,1,3-4
Forum Dyal,67,Yes,No,2,3-4
Arya Mukherjee,21,Yes,No,1,2-3
Ishwar Lala,29,Yes,No,5,11-12
Vritti Bobal,46,Yes,No,5,3-4
Ganga Divan,51,No,Yes,5,11-12
Nihal Kanda,58,No,No,1,2-3
Neel Wable,43,Yes,Yes,5,3-4
Advaith Dyal,48,Yes,Yes,5,3-4
Hemal Kalla,18,Yes,No,2,3-4
Maanas Kata,23,No,No,5,3-4
Xiti Walia,61,Yes,Yes,4,9-10
Arin Dewan,21,Yes,No,1,3-4
Yatan Dugal,62,No,Yes,4,9-10
Wridesh Ahuja,62,No,Yes,3,1-2
Idika Pandit,24,No,Yes,3,3-4
Qasim Cherian,26,No,No,4,2-3
Farhan Rama,49,Yes,Yes,5,12-1
Vinaya Sood,68,Yes,No,4,9-10
Ucchal Morar,42,No,Yes,5,9-10
Leena Devi,28,No,Yes,5,2-3
Sanya Barad,26,No,No,1,11-12
Anika Yadav,50,Yes,Yes,5,1-2
Oeshi Ganesan,66,No,Yes,2,11-12
Gautam Pant,63,Yes,No,4,1-2
Tripti Garg,26,Yes,No,4,12-1
Yatin Keer,29,No,Yes,2,2-3
Dalbir Ghosh,59,Yes,Yes,0,10-11
Aadhya Saha,48,Yes,No,0,9-10
Kiaan Handa,39,Yes,Yes,4,12-1
Harini Bora,18,Yes,Yes,2,3-4
Gavin Sood,58,No,No,5,3-4
Upasna Padmanabhan,19,No,No,2,1-2
Gaurangi Bhatnagar,46,No,Yes,3,9-10
Vansha Lala,35,No,Yes,4,2-3
Abeer Dhillon,32,No,Yes,4,1-2
Xavier Joshi,27,No,No,4,2-3
Qabil Ganguly,36,No,No,3,3-4
Chasmum Soni,49,No,No,3,12-1
Yasti Doctor,41,No,Yes,5,2-3
Chakradev Konda,49,No,No,4,3-4
Kamala Dhar,61,No,Yes,5,10-11
Nihal Subramaniam,69,No,Yes,3,10-11
Vansha Sani,63,No,No,1,1-2
Praneel Narasimhan,59,No,Yes,4,1-2
Yashasvi Venkatesh,40,Yes,Yes,5,4-5
Kamya Dixit,70,No,Yes,2,9-10
Pushti Mittal,62,No,No,4,3-4
Aryan Buch,26,No,No,5,2-3
Yashvi Mukherjee,50,No,Yes,4,9-10
Kai Ratti,36,No,Yes,5,3-4
Idika Goel,50,No,Yes,4,12-1
Teerth Kapur,55,No,Yes,5,12-1
Lajita Gaba,52,Yes,No,5,3-4
Ekavir Kota,69,No,Yes,2,9-10
Yashica Salvi,32,Yes,No,5,10-11
Unni Golla,43,Yes,Yes,3,4-5
Chakradhar Bal,70,Yes,No,5,4-5
Advaith Kunda,44,No,Yes,2,11-12
Lipika Khare,30,No,Yes,3,12-1
Aadi Prabhakar,48,Yes,No,4,11-12
George Barad,49,No,Yes,3,9-10
Hemangini Gade,51,No,No,4,1-2
Brijesh Kalla,46,No,No,3,10-11
Damyanti Dara,55,Yes,Yes,4,1-2
Wridesh Deep,54,No,No,4,11-12
Damyanti Dara,55,Yes,Yes,4,1-2
Jeremiah Chana,33,No,No,3,9-10
Urmi Dasgupta,31,Yes,No,5,2-3
Ansh Nayak,62,Yes,Yes,3,3-4
Onveer Parmar,36,Yes,Yes,5,10-11
Abeer Kumar,59,Yes,Yes,2,12-1
Avni Lad,33,No,Yes,0,2-3
Harshil Yadav,68,No,Yes,2,11-12
Omya Raja,59,Yes,Yes,5,12-1
Nachiket Nair,61,Yes,No,4,12-1
Neha Sinha,68,Yes,Yes,3,10-11
Aachal Rana,49,Yes,Yes,3,9-10
Diya Thaker,31,Yes,Yes,5,1-2
Shivansh Brahmbhatt,49,Yes,Yes,5,11-12
Arin Vohra,44,Yes,No,3,1-2
Edhitha Hegde,29,No,Yes,4,9-10
Zilmil Nagi,68,Yes,No,5,1-2
Bhavna Raj,18,Yes,Yes,2,3-4
Anusha Manne,28,Yes,Yes,1,1-2
Sachi Gopal,27,Yes,No,5,11-12
Sanya Balan,18,Yes,Yes,5,3-4
Harsh Sagar,28,No,No,3,3-4
